StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
27,Minnesota,2012,17%,,73,,Concentration: (0-<=5)
27,Minnesota,2012,0%,,0,,Concentration: (>5)
27,Minnesota,2012,83%,,347,,Concentration: (not-detected)
27,Minnesota,2013,11%,,33,,Concentration: (0-<=5)
27,Minnesota,2013,0%,,0,,Concentration: (>5)
27,Minnesota,2013,89%,,279,,Concentration: (not-detected)
27,Minnesota,2014,10%,,35,,Concentration: (0-<=5)
27,Minnesota,2014,0%,,0,,Concentration: (>5)
27,Minnesota,2014,90%,,320,,Concentration: (not-detected)
27,Minnesota,2015,19%,,64,,Concentration: (0-<=5)
27,Minnesota,2015,0%,,0,,Concentration: (>5)
27,Minnesota,2015,81%,,272,,Concentration: (not-detected)
27,Minnesota,2016,15%,,91,,Concentration: (0-<=5)
27,Minnesota,2016,0%,,0,,Concentration: (>5)
27,Minnesota,2016,85%,,498,,Concentration: (not-detected)
27,Minnesota,2017,9%,,29,,Concentration: (0-<=5)
27,Minnesota,2017,0%,,0,,Concentration: (>5)
27,Minnesota,2017,91%,,295,,Concentration: (not-detected)
27,Minnesota,2018,17%,,74,,Concentration: (0-<=5)
27,Minnesota,2018,0%,,0,,Concentration: (>5)
27,Minnesota,2018,83%,,357,,Concentration: (not-detected)
27,Minnesota,2019,15%,,48,,Concentration: (0-<=5)
27,Minnesota,2019,0%,,0,,Concentration: (>5)
27,Minnesota,2019,85%,,279,,Concentration: (not-detected)
27,Minnesota,2020,9%,,32,,Concentration: (0-<=5)
27,Minnesota,2020,0%,,0,,Concentration: (>5)
27,Minnesota,2020,91%,,320,,Concentration: (not-detected)
27,Minnesota,2021,17%,,69,,Concentration: (0-<=5)
27,Minnesota,2021,0%,,0,,Concentration: (>5)
27,Minnesota,2021,83%,,337,,Concentration: (not-detected)
27,Minnesota,2022,13%,,40,,Concentration: (0-<=5)
27,Minnesota,2022,0%,,0,,Concentration: (>5)
27,Minnesota,2022,87%,,259,,Concentration: (not-detected)
27,Minnesota,2023,1%,,2,,Concentration: (0-<=5)
27,Minnesota,2023,0%,,0,,Concentration: (>5)
27,Minnesota,2023,99%,,389,,Concentration: (not-detected)
29,Missouri,1999,2%,,6,,Concentration: (0-<=5)
29,Missouri,1999,0%,,0,,Concentration: (>5)
29,Missouri,1999,98%,,332,,Concentration: (not-detected)
29,Missouri,2000,1%,,5,,Concentration: (0-<=5)
29,Missouri,2000,0%,,0,,Concentration: (>5)
29,Missouri,2000,99%,,496,,Concentration: (not-detected)
29,Missouri,2001,1%,,4,,Concentration: (0-<=5)
29,Missouri,2001,0%,,1,,Concentration: (>5)
29,Missouri,2001,99%,,463,,Concentration: (not-detected)
29,Missouri,2002,1%,,4,,Concentration: (0-<=5)
29,Missouri,2002,0%,,0,,Concentration: (>5)
29,Missouri,2002,99%,,329,,Concentration: (not-detected)
29,Missouri,2003,1%,,5,,Concentration: (0-<=5)
29,Missouri,2003,0%,,0,,Concentration: (>5)
29,Missouri,2003,99%,,523,,Concentration: (not-detected)
29,Missouri,2004,1%,,7,,Concentration: (0-<=5)
29,Missouri,2004,0%,,0,,Concentration: (>5)
29,Missouri,2004,99%,,462,,Concentration: (not-detected)
29,Missouri,2005,2%,,6,,Concentration: (0-<=5)
29,Missouri,2005,0%,,0,,Concentration: (>5)
29,Missouri,2005,98%,,338,,Concentration: (not-detected)
29,Missouri,2006,1%,,6,,Concentration: (0-<=5)
29,Missouri,2006,0%,,1,,Concentration: (>5)
29,Missouri,2006,99%,,470,,Concentration: (not-detected)
29,Missouri,2007,2%,,9,,Concentration: (0-<=5)
29,Missouri,2007,0%,,0,,Concentration: (>5)
29,Missouri,2007,98%,,458,,Concentration: (not-detected)
29,Missouri,2008,1%,,5,,Concentration: (0-<=5)
29,Missouri,2008,0%,,1,,Concentration: (>5)
29,Missouri,2008,98%,,374,,Concentration: (not-detected)
29,Missouri,2009,1%,,4,,Concentration: (0-<=5)
29,Missouri,2009,0%,,2,,Concentration: (>5)
29,Missouri,2009,99%,,525,,Concentration: (not-detected)
29,Missouri,2010,1%,,6,,Concentration: (0-<=5)
29,Missouri,2010,0%,,1,,Concentration: (>5)
29,Missouri,2010,99%,,502,,Concentration: (not-detected)
29,Missouri,2011,2%,,6,,Concentration: (0-<=5)
29,Missouri,2011,0%,,1,,Concentration: (>5)
29,Missouri,2011,98%,,380,,Concentration: (not-detected)
29,Missouri,2012,1%,,7,,Concentration: (0-<=5)
29,Missouri,2012,0%,,1,,Concentration: (>5)
29,Missouri,2012,98%,,513,,Concentration: (not-detected)
29,Missouri,2013,2%,,10,,Concentration: (0-<=5)
29,Missouri,2013,0%,,0,,Concentration: (>5)
29,Missouri,2013,98%,,455,,Concentration: (not-detected)
29,Missouri,2014,3%,,9,,Concentration: (0-<=5)
29,Missouri,2014,0%,,0,,Concentration: (>5)
29,Missouri,2014,97%,,344,,Concentration: (not-detected)
29,Missouri,2015,2%,,9,,Concentration: (0-<=5)
29,Missouri,2015,0%,,0,,Concentration: (>5)
29,Missouri,2015,98%,,501,,Concentration: (not-detected)
29,Missouri,2016,2%,,11,,Concentration: (0-<=5)
29,Missouri,2016,0%,,0,,Concentration: (>5)
29,Missouri,2016,98%,,446,,Concentration: (not-detected)
29,Missouri,2017,3%,,9,,Concentration: (0-<=5)
29,Missouri,2017,0%,,0,,Concentration: (>5)
29,Missouri,2017,97%,,346,,Concentration: (not-detected)
29,Missouri,2018,2%,,9,,Concentration: (0-<=5)
29,Missouri,2018,0%,,0,,Concentration: (>5)
29,Missouri,2018,98%,,496,,Concentration: (not-detected)
29,Missouri,2019,2%,,8,,Concentration: (0-<=5)
29,Missouri,2019,0%,,1,,Concentration: (>5)
29,Missouri,2019,98%,,459,,Concentration: (not-detected)
29,Missouri,2020,2%,,9,,Concentration: (0-<=5)
29,Missouri,2020,0%,,0,,Concentration: (>5)
29,Missouri,2020,98%,,365,,Concentration: (not-detected)
29,Missouri,2021,2%,,8,,Concentration: (0-<=5)
29,Missouri,2021,0%,,0,,Concentration: (>5)
29,Missouri,2021,98%,,523,,Concentration: (not-detected)
29,Missouri,2022,2%,,10,,Concentration: (0-<=5)
29,Missouri,2022,0%,,0,,Concentration: (>5)
29,Missouri,2022,98%,,474,,Concentration: (not-detected)
29,Missouri,2023,1%,,5,,Concentration: (0-<=5)
29,Missouri,2023,0%,,1,,Concentration: (>5)
29,Missouri,2023,99%,,396,,Concentration: (not-detected)
31,Nebraska,2012,1%,,3,,Concentration: (0-<=5)
31,Nebraska,2012,0%,,0,,Concentration: (>5)
31,Nebraska,2012,99%,,337,,Concentration: (not-detected)
31,Nebraska,2013,2%,,6,,Concentration: (0-<=5)
31,Nebraska,2013,0%,,0,,Concentration: (>5)
31,Nebraska,2013,98%,,330,,Concentration: (not-detected)
31,Nebraska,2014,0%,,1,,Concentration: (0-<=5)
31,Nebraska,2014,0%,,1,,Concentration: (>5)
31,Nebraska,2014,99%,,345,,Concentration: (not-detected)
31,Nebraska,2015,1%,,3,,Concentration: (0-<=5)
31,Nebraska,2015,0%,,0,,Concentration: (>5)
31,Nebraska,2015,99%,,328,,Concentration: (not-detected)
31,Nebraska,2016,2%,,7,,Concentration: (0-<=5)
31,Nebraska,2016,0%,,0,,Concentration: (>5)
31,Nebraska,2016,98%,,336,,Concentration: (not-detected)
31,Nebraska,2017,1%,,4,,Concentration: (0-<=5)
31,Nebraska,2017,0%,,0,,Concentration: (>5)
31,Nebraska,2017,99%,,346,,Concentration: (not-detected)
31,Nebraska,2018,2%,,5,,Concentration: (0-<=5)
31,Nebraska,2018,0%,,0,,Concentration: (>5)
31,Nebraska,2018,98%,,318,,Concentration: (not-detected)
31,Nebraska,2019,1%,,4,,Concentration: (0-<=5)
31,Nebraska,2019,0%,,0,,Concentration: (>5)
31,Nebraska,2019,99%,,320,,Concentration: (not-detected)
31,Nebraska,2020,1%,,4,,Concentration: (0-<=5)
31,Nebraska,2020,0%,,1,,Concentration: (>5)
31,Nebraska,2020,99%,,349,,Concentration: (not-detected)
31,Nebraska,2021,1%,,4,,Concentration: (0-<=5)
31,Nebraska,2021,0%,,0,,Concentration: (>5)
31,Nebraska,2021,99%,,299,,Concentration: (not-detected)
33,New Hampshire,1999,1%,,1,,Concentration: (0-<=5)
33,New Hampshire,1999,0%,,0,,Concentration: (>5)
33,New Hampshire,1999,99%,,106,,Concentration: (not-detected)
33,New Hampshire,2000,0%,,0,,Concentration: (0-<=5)
33,New Hampshire,2000,0%,,0,,Concentration: (>5)
33,New Hampshire,2000,100%,,116,,Concentration: (not-detected)
33,New Hampshire,2001,1%,,2,,Concentration: (0-<=5)
33,New Hampshire,2001,1%,,1,,Concentration: (>5)
33,New Hampshire,2001,98%,,166,,Concentration: (not-detected)
33,New Hampshire,2002,2%,,3,,Concentration: (0-<=5)
33,New Hampshire,2002,0%,,0,,Concentration: (>5)
33,New Hampshire,2002,98%,,193,,Concentration: (not-detected)
33,New Hampshire,2003,3%,,6,,Concentration: (0-<=5)
33,New Hampshire,2003,0%,,1,,Concentration: (>5)
33,New Hampshire,2003,97%,,216,,Concentration: (not-detected)
33,New Hampshire,2004,1%,,2,,Concentration: (0-<=5)
33,New Hampshire,2004,0%,,0,,Concentration: (>5)
33,New Hampshire,2004,99%,,227,,Concentration: (not-detected)
33,New Hampshire,2005,1%,,2,,Concentration: (0-<=5)
33,New Hampshire,2005,0%,,1,,Concentration: (>5)
33,New Hampshire,2005,99%,,247,,Concentration: (not-detected)
33,New Hampshire,2006,1%,,3,,Concentration: (0-<=5)
33,New Hampshire,2006,0%,,0,,Concentration: (>5)
33,New Hampshire,2006,99%,,288,,Concentration: (not-detected)
33,New Hampshire,2007,1%,,3,,Concentration: (0-<=5)
33,New Hampshire,2007,0%,,0,,Concentration: (>5)
33,New Hampshire,2007,99%,,291,,Concentration: (not-detected)
33,New Hampshire,2008,1%,,3,,Concentration: (0-<=5)
33,New Hampshire,2008,0%,,0,,Concentration: (>5)
33,New Hampshire,2008,99%,,312,,Concentration: (not-detected)
33,New Hampshire,2009,1%,,5,,Concentration: (0-<=5)
33,New Hampshire,2009,0%,,0,,Concentration: (>5)
33,New Hampshire,2009,99%,,341,,Concentration: (not-detected)
33,New Hampshire,2010,1%,,5,,Concentration: (0-<=5)
33,New Hampshire,2010,0%,,0,,Concentration: (>5)
33,New Hampshire,2010,99%,,395,,Concentration: (not-detected)
33,New Hampshire,2011,1%,,4,,Concentration: (0-<=5)
33,New Hampshire,2011,0%,,0,,Concentration: (>5)
33,New Hampshire,2011,99%,,462,,Concentration: (not-detected)
33,New Hampshire,2012,1%,,3,,Concentration: (0-<=5)
33,New Hampshire,2012,0%,,0,,Concentration: (>5)
33,New Hampshire,2012,99%,,489,,Concentration: (not-detected)
33,New Hampshire,2013,1%,,3,,Concentration: (0-<=5)
33,New Hampshire,2013,0%,,0,,Concentration: (>5)
33,New Hampshire,2013,99%,,452,,Concentration: (not-detected)
33,New Hampshire,2014,1%,,6,,Concentration: (0-<=5)
33,New Hampshire,2014,0%,,0,,Concentration: (>5)
33,New Hampshire,2014,99%,,432,,Concentration: (not-detected)
33,New Hampshire,2015,1%,,6,,Concentration: (0-<=5)
33,New Hampshire,2015,0%,,0,,Concentration: (>5)
33,New Hampshire,2015,99%,,457,,Concentration: (not-detected)
33,New Hampshire,2016,0%,,2,,Concentration: (0-<=5)
33,New Hampshire,2016,0%,,1,,Concentration: (>5)
33,New Hampshire,2016,99%,,455,,Concentration: (not-detected)
33,New Hampshire,2017,1%,,5,,Concentration: (0-<=5)
33,New Hampshire,2017,0%,,1,,Concentration: (>5)
33,New Hampshire,2017,99%,,450,,Concentration: (not-detected)
33,New Hampshire,2018,1%,,4,,Concentration: (0-<=5)
33,New Hampshire,2018,0%,,0,,Concentration: (>5)
33,New Hampshire,2018,99%,,478,,Concentration: (not-detected)
33,New Hampshire,2019,1%,,4,,Concentration: (0-<=5)
33,New Hampshire,2019,0%,,1,,Concentration: (>5)
33,New Hampshire,2019,99%,,422,,Concentration: (not-detected)
33,New Hampshire,2020,0%,,2,,Concentration: (0-<=5)
33,New Hampshire,2020,0%,,0,,Concentration: (>5)
33,New Hampshire,2020,100%,,438,,Concentration: (not-detected)
33,New Hampshire,2021,0%,,2,,Concentration: (0-<=5)
33,New Hampshire,2021,0%,,0,,Concentration: (>5)
33,New Hampshire,2021,100%,,465,,Concentration: (not-detected)
33,New Hampshire,2022,1%,,3,,Concentration: (0-<=5)
33,New Hampshire,2022,0%,,0,,Concentration: (>5)
33,New Hampshire,2022,99%,,471,,Concentration: (not-detected)
33,New Hampshire,2023,0%,,2,,Concentration: (0-<=5)
33,New Hampshire,2023,0%,,0,,Concentration: (>5)
33,New Hampshire,2023,100%,,463,,Concentration: (not-detected)
34,New Jersey,1999,5%,,15,,Concentration: (0-<=5)
34,New Jersey,1999,1%,,4,,Concentration: (>5)
34,New Jersey,1999,94%,,286,,Concentration: (not-detected)
34,New Jersey,2000,6%,,23,,Concentration: (0-<=5)
34,New Jersey,2000,0%,,0,,Concentration: (>5)
34,New Jersey,2000,94%,,386,,Concentration: (not-detected)
34,New Jersey,2001,7%,,26,,Concentration: (0-<=5)
34,New Jersey,2001,0%,,1,,Concentration: (>5)
34,New Jersey,2001,92%,,324,,Concentration: (not-detected)
34,New Jersey,2002,7%,,26,,Concentration: (0-<=5)
34,New Jersey,2002,1%,,2,,Concentration: (>5)
34,New Jersey,2002,92%,,327,,Concentration: (not-detected)
34,New Jersey,2003,7%,,29,,Concentration: (0-<=5)
34,New Jersey,2003,0%,,2,,Concentration: (>5)
34,New Jersey,2003,93%,,414,,Concentration: (not-detected)
34,New Jersey,2004,8%,,27,,Concentration: (0-<=5)
34,New Jersey,2004,1%,,2,,Concentration: (>5)
34,New Jersey,2004,92%,,312,,Concentration: (not-detected)
34,New Jersey,2005,5%,,18,,Concentration: (0-<=5)
34,New Jersey,2005,0%,,1,,Concentration: (>5)
34,New Jersey,2005,95%,,348,,Concentration: (not-detected)
34,New Jersey,2006,6%,,29,,Concentration: (0-<=5)
34,New Jersey,2006,0%,,0,,Concentration: (>5)
34,New Jersey,2006,94%,,431,,Concentration: (not-detected)
34,New Jersey,2007,9%,,27,,Concentration: (0-<=5)
34,New Jersey,2007,0%,,0,,Concentration: (>5)
34,New Jersey,2007,91%,,278,,Concentration: (not-detected)
34,New Jersey,2008,9%,,29,,Concentration: (0-<=5)
34,New Jersey,2008,0%,,0,,Concentration: (>5)
34,New Jersey,2008,91%,,278,,Concentration: (not-detected)
34,New Jersey,2009,4%,,21,,Concentration: (0-<=5)
34,New Jersey,2009,0%,,1,,Concentration: (>5)
34,New Jersey,2009,95%,,463,,Concentration: (not-detected)
34,New Jersey,2010,7%,,19,,Concentration: (0-<=5)
34,New Jersey,2010,0%,,1,,Concentration: (>5)
34,New Jersey,2010,92%,,246,,Concentration: (not-detected)
34,New Jersey,2011,8%,,23,,Concentration: (0-<=5)
34,New Jersey,2011,0%,,1,,Concentration: (>5)
34,New Jersey,2011,92%,,260,,Concentration: (not-detected)
34,New Jersey,2012,6%,,28,,Concentration: (0-<=5)
34,New Jersey,2012,0%,,1,,Concentration: (>5)
34,New Jersey,2012,94%,,466,,Concentration: (not-detected)
34,New Jersey,2013,9%,,22,,Concentration: (0-<=5)
34,New Jersey,2013,1%,,2,,Concentration: (>5)
34,New Jersey,2013,91%,,232,,Concentration: (not-detected)
34,New Jersey,2014,9%,,24,,Concentration: (0-<=5)
34,New Jersey,2014,0%,,1,,Concentration: (>5)
34,New Jersey,2014,91%,,252,,Concentration: (not-detected)
34,New Jersey,2015,4%,,20,,Concentration: (0-<=5)
34,New Jersey,2015,0%,,2,,Concentration: (>5)
34,New Jersey,2015,95%,,455,,Concentration: (not-detected)
34,New Jersey,2016,8%,,21,,Concentration: (0-<=5)
34,New Jersey,2016,0%,,0,,Concentration: (>5)
34,New Jersey,2016,92%,,233,,Concentration: (not-detected)
34,New Jersey,2017,4%,,10,,Concentration: (0-<=5)
34,New Jersey,2017,0%,,0,,Concentration: (>5)
34,New Jersey,2017,96%,,266,,Concentration: (not-detected)
34,New Jersey,2018,2%,,11,,Concentration: (0-<=5)
34,New Jersey,2018,0%,,0,,Concentration: (>5)
34,New Jersey,2018,98%,,459,,Concentration: (not-detected)
34,New Jersey,2019,4%,,9,,Concentration: (0-<=5)
34,New Jersey,2019,0%,,0,,Concentration: (>5)
34,New Jersey,2019,96%,,236,,Concentration: (not-detected)
34,New Jersey,2020,3%,,9,,Concentration: (0-<=5)
34,New Jersey,2020,0%,,1,,Concentration: (>5)
34,New Jersey,2020,96%,,258,,Concentration: (not-detected)
34,New Jersey,2021,2%,,11,,Concentration: (0-<=5)
34,New Jersey,2021,0%,,0,,Concentration: (>5)
34,New Jersey,2021,98%,,453,,Concentration: (not-detected)
34,New Jersey,2022,4%,,9,,Concentration: (0-<=5)
34,New Jersey,2022,0%,,0,,Concentration: (>5)
34,New Jersey,2022,96%,,225,,Concentration: (not-detected)
34,New Jersey,2023,4%,,9,,Concentration: (0-<=5)
34,New Jersey,2023,0%,,0,,Concentration: (>5)
34,New Jersey,2023,96%,,243,,Concentration: (not-detected)
35,New Mexico,1999,0%,,1,,Concentration: (0-<=5)
35,New Mexico,1999,0%,,1,,Concentration: (>5)
35,New Mexico,1999,99%,,367,,Concentration: (not-detected)
35,New Mexico,2000,0%,,1,,Concentration: (0-<=5)
35,New Mexico,2000,0%,,1,,Concentration: (>5)
35,New Mexico,2000,99%,,282,,Concentration: (not-detected)
35,New Mexico,2001,1%,,3,,Concentration: (0-<=5)
35,New Mexico,2001,0%,,1,,Concentration: (>5)
35,New Mexico,2001,98%,,223,,Concentration: (not-detected)
35,New Mexico,2002,1%,,2,,Concentration: (0-<=5)
35,New Mexico,2002,1%,,1,,Concentration: (>5)
35,New Mexico,2002,98%,,181,,Concentration: (not-detected)
35,New Mexico,2003,2%,,7,,Concentration: (0-<=5)
35,New Mexico,2003,0%,,1,,Concentration: (>5)
35,New Mexico,2003,98%,,342,,Concentration: (not-detected)
35,New Mexico,2004,2%,,5,,Concentration: (0-<=5)
35,New Mexico,2004,1%,,2,,Concentration: (>5)
35,New Mexico,2004,97%,,263,,Concentration: (not-detected)
35,New Mexico,2005,2%,,4,,Concentration: (0-<=5)
35,New Mexico,2005,0%,,1,,Concentration: (>5)
35,New Mexico,2005,98%,,200,,Concentration: (not-detected)
35,New Mexico,2006,2%,,5,,Concentration: (0-<=5)
35,New Mexico,2006,0%,,1,,Concentration: (>5)
35,New Mexico,2006,97%,,230,,Concentration: (not-detected)
35,New Mexico,2007,5%,,17,,Concentration: (0-<=5)
35,New Mexico,2007,0%,,1,,Concentration: (>5)
35,New Mexico,2007,95%,,346,,Concentration: (not-detected)
35,New Mexico,2008,3%,,5,,Concentration: (0-<=5)
35,New Mexico,2008,1%,,1,,Concentration: (>5)
35,New Mexico,2008,97%,,190,,Concentration: (not-detected)
35,New Mexico,2009,0%,,1,,Concentration: (0-<=5)
35,New Mexico,2009,0%,,0,,Concentration: (>5)
35,New Mexico,2009,100%,,290,,Concentration: (not-detected)
35,New Mexico,2010,0%,,1,,Concentration: (0-<=5)
35,New Mexico,2010,0%,,0,,Concentration: (>5)
35,New Mexico,2010,100%,,316,,Concentration: (not-detected)
35,New Mexico,2011,4%,,7,,Concentration: (0-<=5)
35,New Mexico,2011,0%,,0,,Concentration: (>5)
35,New Mexico,2011,96%,,177,,Concentration: (not-detected)
35,New Mexico,2012,2%,,5,,Concentration: (0-<=5)
35,New Mexico,2012,0%,,0,,Concentration: (>5)
35,New Mexico,2012,98%,,310,,Concentration: (not-detected)
35,New Mexico,2013,0%,,1,,Concentration: (0-<=5)
35,New Mexico,2013,0%,,0,,Concentration: (>5)
35,New Mexico,2013,100%,,289,,Concentration: (not-detected)
35,New Mexico,2014,3%,,7,,Concentration: (0-<=5)
35,New Mexico,2014,0%,,0,,Concentration: (>5)
35,New Mexico,2014,97%,,203,,Concentration: (not-detected)
35,New Mexico,2015,1%,,3,,Concentration: (0-<=5)
35,New Mexico,2015,0%,,0,,Concentration: (>5)
35,New Mexico,2015,99%,,288,,Concentration: (not-detected)
35,New Mexico,2016,1%,,4,,Concentration: (0-<=5)
35,New Mexico,2016,0%,,0,,Concentration: (>5)
35,New Mexico,2016,99%,,265,,Concentration: (not-detected)
35,New Mexico,2017,1%,,2,,Concentration: (0-<=5)
35,New Mexico,2017,0%,,0,,Concentration: (>5)
35,New Mexico,2017,99%,,213,,Concentration: (not-detected)
35,New Mexico,2018,1%,,2,,Concentration: (0-<=5)
35,New Mexico,2018,0%,,0,,Concentration: (>5)
35,New Mexico,2018,99%,,255,,Concentration: (not-detected)
35,New Mexico,2020,2%,,3,,Concentration: (0-<=5)
35,New Mexico,2020,0%,,0,,Concentration: (>5)
35,New Mexico,2020,98%,,162,,Concentration: (not-detected)
35,New Mexico,2021,1%,,2,,Concentration: (0-<=5)
35,New Mexico,2021,0%,,0,,Concentration: (>5)
35,New Mexico,2021,99%,,231,,Concentration: (not-detected)
35,New Mexico,2022,1%,,2,,Concentration: (0-<=5)
35,New Mexico,2022,0%,,0,,Concentration: (>5)
35,New Mexico,2022,99%,,267,,Concentration: (not-detected)
35,New Mexico,2023,1%,,2,,Concentration: (0-<=5)
35,New Mexico,2023,0%,,0,,Concentration: (>5)
35,New Mexico,2023,99%,,176,,Concentration: (not-detected)
36,New York,1999,2%,,1,,Concentration: (0-<=5)
36,New York,1999,0%,,0,,Concentration: (>5)
36,New York,1999,98%,,44,,Concentration: (not-detected)
36,New York,2000,1%,,1,,Concentration: (0-<=5)
36,New York,2000,0%,,0,,Concentration: (>5)
36,New York,2000,99%,,152,,Concentration: (not-detected)
36,New York,2001,0%,,1,,Concentration: (0-<=5)
36,New York,2001,0%,,0,,Concentration: (>5)
36,New York,2001,100%,,242,,Concentration: (not-detected)
36,New York,2002,1%,,2,,Concentration: (0-<=5)
36,New York,2002,0%,,1,,Concentration: (>5)
36,New York,2002,99%,,385,,Concentration: (not-detected)
36,New York,2003,2%,,7,,Concentration: (0-<=5)
36,New York,2003,1%,,3,,Concentration: (>5)
36,New York,2003,98%,,458,,Concentration: (not-detected)
36,New York,2004,1%,,7,,Concentration: (0-<=5)
36,New York,2004,1%,,3,,Concentration: (>5)
36,New York,2004,98%,,461,,Concentration: (not-detected)
36,New York,2005,1%,,6,,Concentration: (0-<=5)
36,New York,2005,1%,,3,,Concentration: (>5)
36,New York,2005,98%,,468,,Concentration: (not-detected)
36,New York,2006,1%,,7,,Concentration: (0-<=5)
36,New York,2006,0%,,3,,Concentration: (>5)
36,New York,2006,99%,,680,,Concentration: (not-detected)
36,New York,2007,2%,,11,,Concentration: (0-<=5)
36,New York,2007,1%,,6,,Concentration: (>5)
36,New York,2007,98%,,708,,Concentration: (not-detected)
36,New York,2008,1%,,10,,Concentration: (0-<=5)
36,New York,2008,0%,,2,,Concentration: (>5)
36,New York,2008,98%,,709,,Concentration: (not-detected)
36,New York,2009,2%,,12,,Concentration: (0-<=5)
36,New York,2009,0%,,0,,Concentration: (>5)
36,New York,2009,98%,,779,,Concentration: (not-detected)
36,New York,2010,2%,,17,,Concentration: (0-<=5)
36,New York,2010,0%,,3,,Concentration: (>5)
36,New York,2010,97%,,715,,Concentration: (not-detected)
36,New York,2011,2%,,15,,Concentration: (0-<=5)
36,New York,2011,0%,,2,,Concentration: (>5)
36,New York,2011,98%,,676,,Concentration: (not-detected)
36,New York,2012,1%,,11,,Concentration: (0-<=5)
36,New York,2012,0%,,3,,Concentration: (>5)
36,New York,2012,98%,,725,,Concentration: (not-detected)
36,New York,2013,2%,,14,,Concentration: (0-<=5)
36,New York,2013,0%,,3,,Concentration: (>5)
36,New York,2013,98%,,744,,Concentration: (not-detected)
36,New York,2014,2%,,13,,Concentration: (0-<=5)
36,New York,2014,0%,,3,,Concentration: (>5)
36,New York,2014,98%,,722,,Concentration: (not-detected)
36,New York,2015,1%,,10,,Concentration: (0-<=5)
36,New York,2015,0%,,2,,Concentration: (>5)
36,New York,2015,99%,,799,,Concentration: (not-detected)
36,New York,2016,1%,,6,,Concentration: (0-<=5)
36,New York,2016,0%,,2,,Concentration: (>5)
36,New York,2016,99%,,727,,Concentration: (not-detected)
36,New York,2018,1%,,11,,Concentration: (0-<=5)
36,New York,2018,0%,,1,,Concentration: (>5)
36,New York,2018,98%,,730,,Concentration: (not-detected)
36,New York,2019,1%,,8,,Concentration: (0-<=5)
36,New York,2019,1%,,4,,Concentration: (>5)
36,New York,2019,98%,,715,,Concentration: (not-detected)
36,New York,2020,1%,,5,,Concentration: (0-<=5)
36,New York,2020,1%,,4,,Concentration: (>5)
36,New York,2020,99%,,661,,Concentration: (not-detected)
36,New York,2021,2%,,14,,Concentration: (0-<=5)
36,New York,2021,0%,,2,,Concentration: (>5)
36,New York,2021,98%,,815,,Concentration: (not-detected)
36,New York,2022,2%,,18,,Concentration: (0-<=5)
36,New York,2022,0%,,2,,Concentration: (>5)
36,New York,2022,97%,,776,,Concentration: (not-detected)
36,New York,2023,2%,,12,,Concentration: (0-<=5)
36,New York,2023,0%,,3,,Concentration: (>5)
36,New York,2023,98%,,735,,Concentration: (not-detected)
37,North Carolina,2010,1%,,10,,Concentration: (0-<=5)
37,North Carolina,2010,0%,,0,,Concentration: (>5)
37,North Carolina,2010,99%,,841,,Concentration: (not-detected)
37,North Carolina,2011,1%,,14,,Concentration: (0-<=5)
37,North Carolina,2011,0%,,0,,Concentration: (>5)
37,North Carolina,2011,99%,,990,,Concentration: (not-detected)
37,North Carolina,2012,2%,,19,,Concentration: (0-<=5)
37,North Carolina,2012,0%,,2,,Concentration: (>5)
37,North Carolina,2012,98%,,952,,Concentration: (not-detected)
37,North Carolina,2013,2%,,18,,Concentration: (0-<=5)
37,North Carolina,2013,0%,,1,,Concentration: (>5)
37,North Carolina,2013,98%,,931,,Concentration: (not-detected)
37,North Carolina,2014,2%,,15,,Concentration: (0-<=5)
37,North Carolina,2014,0%,,1,,Concentration: (>5)
37,North Carolina,2014,98%,,983,,Concentration: (not-detected)
37,North Carolina,2015,1%,,11,,Concentration: (0-<=5)
37,North Carolina,2015,0%,,0,,Concentration: (>5)
37,North Carolina,2015,99%,,883,,Concentration: (not-detected)
37,North Carolina,2016,1%,,11,,Concentration: (0-<=5)
37,North Carolina,2016,0%,,0,,Concentration: (>5)
37,North Carolina,2016,99%,,904,,Concentration: (not-detected)
37,North Carolina,2017,1%,,13,,Concentration: (0-<=5)
37,North Carolina,2017,0%,,1,,Concentration: (>5)
37,North Carolina,2017,99%,,941,,Concentration: (not-detected)
37,North Carolina,2018,2%,,17,,Concentration: (0-<=5)
37,North Carolina,2018,0%,,0,,Concentration: (>5)
37,North Carolina,2018,98%,,831,,Concentration: (not-detected)
37,North Carolina,2019,1%,,10,,Concentration: (0-<=5)
37,North Carolina,2019,0%,,1,,Concentration: (>5)
37,North Carolina,2019,99%,,901,,Concentration: (not-detected)
37,North Carolina,2020,1%,,8,,Concentration: (0-<=5)
37,North Carolina,2020,0%,,1,,Concentration: (>5)
37,North Carolina,2020,99%,,928,,Concentration: (not-detected)
37,North Carolina,2021,1%,,10,,Concentration: (0-<=5)
37,North Carolina,2021,0%,,0,,Concentration: (>5)
37,North Carolina,2021,99%,,848,,Concentration: (not-detected)
37,North Carolina,2022,1%,,10,,Concentration: (0-<=5)
37,North Carolina,2022,0%,,0,,Concentration: (>5)
37,North Carolina,2022,99%,,940,,Concentration: (not-detected)
37,North Carolina,2023,1%,,8,,Concentration: (0-<=5)
37,North Carolina,2023,0%,,0,,Concentration: (>5)
37,North Carolina,2023,99%,,916,,Concentration: (not-detected)
41,Oregon,2002,1%,,2,,Concentration: (0-<=5)
