StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
8,Colorado,2010,1%,,3,,Concentration: (0-<=5)
8,Colorado,2010,0%,,2,,Concentration: (>5)
8,Colorado,2010,99%,,447,,Concentration: (not-detected)
8,Colorado,2011,1%,,3,,Concentration: (0-<=5)
8,Colorado,2011,0%,,0,,Concentration: (>5)
8,Colorado,2011,99%,,427,,Concentration: (not-detected)
8,Colorado,2012,1%,,4,,Concentration: (0-<=5)
8,Colorado,2012,0%,,0,,Concentration: (>5)
8,Colorado,2012,99%,,428,,Concentration: (not-detected)
8,Colorado,2013,1%,,3,,Concentration: (0-<=5)
8,Colorado,2013,0%,,1,,Concentration: (>5)
8,Colorado,2013,99%,,482,,Concentration: (not-detected)
8,Colorado,2014,1%,,5,,Concentration: (0-<=5)
8,Colorado,2014,0%,,0,,Concentration: (>5)
8,Colorado,2014,99%,,441,,Concentration: (not-detected)
8,Colorado,2015,1%,,5,,Concentration: (0-<=5)
8,Colorado,2015,0%,,0,,Concentration: (>5)
8,Colorado,2015,99%,,400,,Concentration: (not-detected)
8,Colorado,2016,1%,,5,,Concentration: (0-<=5)
8,Colorado,2016,0%,,0,,Concentration: (>5)
8,Colorado,2016,99%,,550,,Concentration: (not-detected)
8,Colorado,2017,1%,,5,,Concentration: (0-<=5)
8,Colorado,2017,0%,,0,,Concentration: (>5)
8,Colorado,2017,99%,,434,,Concentration: (not-detected)
8,Colorado,2018,1%,,5,,Concentration: (0-<=5)
8,Colorado,2018,0%,,0,,Concentration: (>5)
8,Colorado,2018,99%,,401,,Concentration: (not-detected)
8,Colorado,2019,1%,,7,,Concentration: (0-<=5)
8,Colorado,2019,0%,,0,,Concentration: (>5)
8,Colorado,2019,99%,,565,,Concentration: (not-detected)
8,Colorado,2020,1%,,4,,Concentration: (0-<=5)
8,Colorado,2020,0%,,0,,Concentration: (>5)
8,Colorado,2020,99%,,448,,Concentration: (not-detected)
8,Colorado,2021,1%,,4,,Concentration: (0-<=5)
8,Colorado,2021,0%,,0,,Concentration: (>5)
8,Colorado,2021,99%,,453,,Concentration: (not-detected)
8,Colorado,2022,1%,,4,,Concentration: (0-<=5)
8,Colorado,2022,0%,,0,,Concentration: (>5)
8,Colorado,2022,99%,,590,,Concentration: (not-detected)
8,Colorado,2023,0%,,2,,Concentration: (0-<=5)
8,Colorado,2023,0%,,1,,Concentration: (>5)
8,Colorado,2023,99%,,467,,Concentration: (not-detected)
9,Connecticut,2000,0%,,0,,Concentration: (0-<=5)
9,Connecticut,2000,14%,,1,,Concentration: (>5)
